,기준년월,발급회원번호,대표결제일,대표결제방법코드,대표청구지고객주소구분코드,대표청구서수령지구분코드,청구서수령방법,청구서발송여부_B0,청구서발송여부_R3M,청구서발송여부_R6M,청구금액_B0,청구금액_R3M,청구금액_R6M,포인트_마일리지_건별_B0M,포인트_마일리지_건별_R3M,포인트_포인트_건별_B0M,포인트_포인트_건별_R3M,포인트_마일리지_월적립_B0M,포인트_마일리지_월적립_R3M,포인트_포인트_월적립_B0M,포인트_포인트_월적립_R3M,포인트_적립포인트_R12M,포인트_적립포인트_R3M,포인트_이용포인트_R12M,포인트_이용포인트_R3M,포인트_잔여포인트_B0M,마일_적립포인트_R12M,마일_적립포인트_R3M,마일_이용포인트_R12M,마일_이용포인트_R3M,마일_잔여포인트_B0M,할인건수_R3M,할인금액_R3M,할인건수_B0M,할인금액_B0M,할인금액_청구서_R3M,할인금액_청구서_B0M,상환개월수_결제일_R6M,상환개월수_결제일_R3M,선결제건수_R6M,선결제건수_R3M,연체건수_R6M,연체건수_R3M,혜택수혜금액_R3M,포인트_마일리지_환산_B0M,혜택수혜금액
0,201812,SYN_0,27,2,_,S,03.LMS,1,1,1,1397688,4216335,8587915,0,0,1201,3641,0,0,0,0,3412,1514,2274,916,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
1,201812,SYN_1,13,2,002,1,01.우편,1,1,1,244226,853967,2101288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49076,16358,6,3,0,0,0,0,0,0,0
2,201812,SYN_2,25,2,002,1,01.우편,0,0,1,0,0,67452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3526,6,1165,1753,574,3,0,0,0,0,0,0,0,0
3,201812,SYN_3,5,2,_,2,02.이메일,1,1,1,31732,90804,157021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
4,201812,SYN_4,23,2,_,2,02.이메일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,201812,SYN_5,23,2,002,1,01.우편,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,201812,SYN_6,15,2,002,1,01.우편,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,201812,SYN_7,27,2,002,1,01.우편,1,1,1,67115,216040,458270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,900,2703,901,6,3,0,0,0,0,2697,0,899
8,201812,SYN_8,25,2,_,2,02.이메일,1,1,1,1484133,4175065,8184152,0,0,0,0,0,0,4459,13348,0,15653,135735,29745,0,0,0,0,0,0,12,4122,4,1393,3213,1139,5,3,0,0,1,0,75365,0,25183
9,201812,SYN_9,15,2,002,1,01.우편,1,1,1,144327,447193,846597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
