,기준년월,발급회원번호,대표결제일,대표결제방법코드,대표청구지고객주소구분코드,대표청구서수령지구분코드,청구서수령방법,청구서발송여부_B0,청구서발송여부_R3M,청구서발송여부_R6M,청구금액_B0,청구금액_R3M,청구금액_R6M,포인트_마일리지_건별_B0M,포인트_마일리지_건별_R3M,포인트_포인트_건별_B0M,포인트_포인트_건별_R3M,포인트_마일리지_월적립_B0M,포인트_마일리지_월적립_R3M,포인트_포인트_월적립_B0M,포인트_포인트_월적립_R3M,포인트_적립포인트_R12M,포인트_적립포인트_R3M,포인트_이용포인트_R12M,포인트_이용포인트_R3M,포인트_잔여포인트_B0M,마일_적립포인트_R12M,마일_적립포인트_R3M,마일_이용포인트_R12M,마일_이용포인트_R3M,마일_잔여포인트_B0M,할인건수_R3M,할인금액_R3M,할인건수_B0M,할인금액_B0M,할인금액_청구서_R3M,할인금액_청구서_B0M,상환개월수_결제일_R6M,상환개월수_결제일_R3M,선결제건수_R6M,선결제건수_R3M,연체건수_R6M,연체건수_R3M,혜택수혜금액_R3M,포인트_마일리지_환산_B0M,혜택수혜금액
0,201809,SYN_0,27,2,_,S,03.LMS,1,1,1,1573204,4371580,13226968,0,0,1269,4062,0,0,0,0,3778,1661,2981,1033,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
1,201809,SYN_1,13,2,002,1,01.우편,1,1,1,342882,1247321,1831120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49155,16311,6,3,0,0,0,0,0,0,0
2,201809,SYN_2,25,2,002,1,01.우편,0,1,1,0,67452,806150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,5,2,0,0,0,0,0,0,0
3,201809,SYN_3,5,2,_,2,02.이메일,1,1,1,25680,66217,134267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
4,201809,SYN_4,23,2,_,2,02.이메일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,201809,SYN_5,23,2,002,1,01.우편,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,201809,SYN_6,15,2,002,1,01.우편,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,201809,SYN_7,27,2,002,1,01.우편,1,1,1,83402,242230,556545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,900,2701,900,6,3,0,0,0,0,2697,0,899
8,201809,SYN_8,25,2,_,2,02.이메일,1,1,1,1307017,4009087,8092291,0,0,0,0,0,0,4457,13380,0,13877,117689,25073,0,0,0,0,0,0,12,3988,4,1349,1905,0,5,2,0,0,1,1,16170,0,5442
9,201809,SYN_9,15,2,002,1,01.우편,1,1,1,142703,399404,826368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0
